code_pdv_texte,code_pdv,Vague,**nom_restaurant**,**reseau**,**code_direction**,REGION<br>GLOBALE,**code_region**,REGION,**statut_pdv**,id_readings,vague,nom_restaurant,region,date_mel,statut_integration,affluence,sequence,joker,syntaxe,fdv,hdv,sexe,age,f600,f600_comment,1.1 - Courtoisie et aimabilité du personnel,1.2 - Compétence du personnel,"1.3 - Perception du personnel (souriant, dynamique, professionnel)",1.4 - Interaction avec le client,1.5 - Gestion de l'affluence,2.1 - Qualité des plats,2.2 - Variété des plats,2.3 - Cuisson et température des aliments,2.4 - Assaisonnement des aliments,2.5 - Disponibilité des plats,3.1 - Propreté générale du restaurant,3.2 - Propreté des toilettes,3.3 - Propreté et rangement des tables,3.4 - Propreté des couverts et assiettes,"3.5 - Propreté des espaces de service (buffets, stands)",4.1 - Décoration et agencement du restaurant,4.2 - Bruit dans le restaurant,"4.3 - Espace (espacement entre les tables, taille du restaurant)",4.4 - Environnement pour les enfants,5.1 - Présence de déchets,5.2 - Nettoyage et débarrassage des tables,5.3 - Fréquence du réapprovisionnement des buffets,6.1 - Gestion du temps d'attente,6.2 - Rapidité du service en caisse,6.3 - Gestion de l'affluence,7.1 - Variété et qualité des légumes,7.2 - Presence de sauce sur assiette,7.3 - Assaisonnement des accompagnements,7.4 - Disponibilité des sauces,8.1 - Connaissance du personnel sur les produits,8.2 - Disponibilité des produits comme les crêpes,8.3 - Problèmes techniques impactants l'offre de produits,9.1 - Accessibilité du restaurant,9.2 - Places de parking,9.3 - Aménagement de la terrasse,10. - Prix,11. - Communication,12. - Poisson
17,17,mars-23,LE MANS LA MILESSE,COMPAGNIE,DO_5,SUD,R_31,OUEST,Actif,346487,34,7,27,22/03/2023,1,2,WE FAMILLE,1,6,3/18/2023,19:05:00,Homme,36,2,La visite correspond à mes attentes. La salle est très joliment amménagée.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,17,avr.-23,LE MANS LA MILESSE,COMPAGNIE,DO_5,SUD,R_31,OUEST,Actif,346516,37,7,27,11/04/2023,0,2,MIDI SEMAINE,0,6,04/04/2023,12:03:00,Femme,51,2,"J'ai trouvé que l'ensemble du restaurant était propre, mais je m'attendais à ce que le personnel soit plus aimable que cela. La nourriture était correcte mais les saveurs des plats n'étaient pas à la hauteur de leur aspect.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,18,janv.-23,PARIS CAULAINCOURT,COMPAGNIE,DO_5,NORD,R_28,PARIS NORMANDIE,Actif,345826,32,8,29,17/01/2023,0,2,MIDI SEMAINE,0,6,01/12/2023,12:43:00,Homme,53,2,"Dans lensemble, le restaurant est propre, et le personnel croisé est sympathique et souriant. Le passage en caisse est plutôt rapide, et je trouve facilement de la place pour pouvoir déjeuner.",S,S,S,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC
18,18,janv.-23,PARIS CAULAINCOURT,COMPAGNIE,DO_5,NORD,R_28,PARIS NORMANDIE,Actif,345978,32,8,29,31/01/2023,1,3,MIDI SEMAINE,1,6,1/23/2023,12:01:00,Homme,66,1,Le restaurant est propre et clair. Le personnel est agréable et souriant. La nourriture est bonne et servie chaude.,S,S,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC
18,18,mai-23,PARIS CAULAINCOURT,COMPAGNIE,DO_5,NORD,R_28,PARIS NORMANDIE,Actif,346900,38,8,29,10/05/2023,1,1,SOIR SEMAINE,0,6,05/04/2023,19:03:00,Homme,57,4,"La nourriture est moyenne, surtout les légumes. Le personnel ne prête pas attention aux clients. Par contre ils plaisantent beaucoup entre eux, en petit groupe au niveau des glaces ou dans le coin de l'espace cuisine où est placée l'étuve pour garder les légumes au chaud.",NS,NS,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC
18,18,mai-23,PARIS CAULAINCOURT,COMPAGNIE,DO_5,NORD,R_28,PARIS NORMANDIE,Actif,347023,38,8,29,23/05/2023,0,1,SOIR SEMAINE,1,6,5/15/2023,19:30:00,Femme,19,2,Jaurais aimé manger mon plat avec les frites directement sans devoir aller plusieurs fois au buffet pour en avoir.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,18,août-23,PARIS CAULAINCOURT,COMPAGNIE,DO_5,NORD,R_28,PARIS NORMANDIE,Actif,347517,41,8,29,11/08/2023,0,2,SOIR SEMAINE,0,6,08/02/2023,19:40:00,Femme,55,2,"Il y avait une bonne variété de légumes au buffet et de loriginalité. Le gratin de courgettes était très bien cuisiné. Le buffet était régulièrement réapprovisionné. Il est dommage davoir mis les légumes du couscous sans la semoule pour accompagner ou du riz. Mon plat était bon, mais la panure du poisson nétait pas croustillante.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,18,août-23,PARIS CAULAINCOURT,COMPAGNIE,DO_5,NORD,R_28,PARIS NORMANDIE,Actif,347684,41,8,29,22/08/2023,1,2,SOIR SEMAINE,1,6,17/08/2023,19:38:00,Homme,71,4,"L'affichage des plats sur les écrans nest pas clair, le circuit ne permet pas de voir tous les plats disponibles. Les toilettes ne sont pas propres. Les frites sont molles. Un employé remet dans le plat des carottes qui sont tombées.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
853,853,avr.-23,NARBONNE,FRANCHISE,DO_6,SUD,R_13,GRAND SUD EST,Actif,346663,37,223,24,18/04/2023,0,2,MIDI SEMAINE,1,6,4/17/2023,12:30:00,Femme,34,2,"C'est bon mais sans plus, les garnitures sont décevantes. Il manque de la vaisselle (couverts et contenants).",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,20,mars-23,BAYONNE,COMPAGNIE,DO_1,SUD,R_20,CENTRE AQUITAINE,Actif,346352,34,9,22,10/03/2023,0,2,WE FAMILLE,0,6,03/04/2023,12:40:00,Femme,66,2,"C'est un endroit agréable. Les aliments étaient bons, sauf les frites. Il faut juste choisir son créneau pour éviter des attentes trop longues, pour la recherche d'une table par exemple.",PDC,PDC,NS,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC
20,20,mars-23,BAYONNE,COMPAGNIE,DO_1,SUD,R_20,CENTRE AQUITAINE,Actif,346491,34,9,22,22/03/2023,1,1,WE FAMILLE,1,6,3/18/2023,19:47:00,Femme,33,2,Le personnel était aimable. Cela manquait de propreté au niveau de la fontaine à bière et de la vaisselle. Une table est restée non débarrassée pendant un certain temps. Les frites étaient molles.,S,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC
20,20,mai-23,BAYONNE,COMPAGNIE,DO_1,SUD,R_20,CENTRE AQUITAINE,Actif,346948,38,9,22,10/05/2023,1,3,SOIR SEMAINE,0,6,05/02/2023,19:25:00,Femme,46,2,"Tout se passe bien sauf aux plats chauds, car mon plat est remis à un autre client. Les toilettes sont sales.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,20,mai-23,BAYONNE,COMPAGNIE,DO_1,SUD,R_20,CENTRE AQUITAINE,Actif,347029,38,9,22,30/05/2023,0,3,SOIR SEMAINE,1,6,5/22/2023,19:02:00,Femme,66,3,L'employé en caisse est peu avenant. L'état des toilettes est déplorable.,PDC,NS,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC
20,20,sept.-23,BAYONNE,COMPAGNIE,DO_1,SUD,R_20,CENTRE AQUITAINE,Actif,347777,42,9,22,20/09/2023,0,3,WE FAMILLE,0,6,9/16/2023,19:23:00,Femme,55,2,"Les sols de la terrasse et de la salle gagneraient à être balayés. Les toilettes auraient besoin d'un coup de peinture. La personne en caisse est peu souriante. Les buffets sont appétissants, le service des plats est bien géré, et avec le sourire.",PDC,NS,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC
20,20,sept.-23,BAYONNE,COMPAGNIE,DO_1,SUD,R_20,CENTRE AQUITAINE,Actif,347861,42,9,22,03/10/2023,1,2,WE FAMILLE,1,6,9/30/2023,12:28:00,Femme,66,2,"Il ny a pas beaucoup dattente en caisse, un peu plus aux Plats chauds, mais la personne est énergique. La nourriture est bonne et servie à la bonne température. Il y a assez de choix en garnitures.",PDC,PDC,S,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC
21,21,févr.-23,TOULOUSE LABEGE,COMPAGNIE,DO_1,SUD,R_26,GRAND SUD EST,Actif,346107,33,10,24,14/02/2023,0,2,SOIR SEMAINE,0,6,02/07/2023,20:00:00,Homme,59,2,"C'est agréable dans l'ensemble, mais sans surprise.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,21,févr.-23,TOULOUSE LABEGE,COMPAGNIE,DO_1,SUD,R_26,GRAND SUD EST,Actif,346154,33,10,24,28/02/2023,1,2,SOIR SEMAINE,1,6,2/22/2023,19:39:00,Homme,59,1,"L'endroit est très propre. Mon repas est agréable. En cuisine, le personnel est très souriant et professionnel.",S,S,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC
21,21,août-23,TOULOUSE LABEGE,COMPAGNIE,DO_1,SUD,R_26,GRAND SUD EST,Actif,347519,41,10,24,11/08/2023,0,3,SOIR SEMAINE,0,6,08/01/2023,19:05:00,Femme,20,2,"La visite est très agréable. Nous passons un bon moment, malgré une personne un peu froide à la caisse.",S,PDC,S,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC
21,21,août-23,TOULOUSE LABEGE,COMPAGNIE,DO_1,SUD,R_26,GRAND SUD EST,Actif,347669,41,10,24,22/08/2023,1,2,SOIR SEMAINE,1,6,16/08/2023,19:13:00,Femme,60,3,Le personnel continue de servir les boulettes kefta alors qu'il n'y a plus de semoule. Il aurait fallu en informer la personne qui encaisse. La personne qui m'accompagne est déçue.,PDC,PDC,NS,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC
27,27,janv.-23,ANNECY,COMPAGNIE,DO_4,SUD,R_30,CENTRE EST,Actif,345818,32,11,23,17/01/2023,0,2,MIDI SEMAINE,0,6,01/10/2023,12:20:00,Femme,69,3,"Le personnel n'était pas très souriant, ni très avenant, mis à part la personne en caisse.",NS,NS,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC
27,27,janv.-23,ANNECY,COMPAGNIE,DO_4,SUD,R_30,CENTRE EST,Actif,345942,32,11,23,31/01/2023,1,1,MIDI SEMAINE,1,6,1/23/2023,12:15:00,Femme,69,3,"L'amabilité du personnel laisse à désirer. Par exemple, je m'enquiers du micro-ondes auprès d'un employé, il me répond C'est là. J'insiste parce que je ne le vois pas, caché par une personne devant la machine à café, il me répète légèrement excédé Là, ben là.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,27,avr.-23,ANNECY,COMPAGNIE,DO_4,SUD,R_30,CENTRE EST,Actif,346520,37,11,23,11/04/2023,0,2,MIDI SEMAINE,0,6,04/05/2023,12:09:00,Femme,69,1,"Le plat choisi est très bon, les garnitures sont goûteuses et le dessert est excellent. Il n'y a pas vraiment foule, donc l'ambiance est plutôt tranquille et apaisante.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,27,avr.-23,ANNECY,COMPAGNIE,DO_4,SUD,R_30,CENTRE EST,Actif,346680,37,11,23,18/04/2023,1,1,MIDI SEMAINE,1,6,04/12/2023,12:33:00,Homme,56,2,Le plat choisi était savoureux. Et l'ambiance générale était agréable.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,27,sept.-23,ANNECY,COMPAGNIE,DO_4,SUD,R_30,CENTRE EST,Actif,347788,42,11,23,20/09/2023,1,2,WE FAMILLE,0,6,9/16/2023,19:12:00,Femme,51,2,"Je suis plutôt satisfaite de ma visite, l'encaissement est rapide et l'employée agréable et souriante. Les plats sont vite servis et sont chauds.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,27,sept.-23,ANNECY,COMPAGNIE,DO_4,SUD,R_30,CENTRE EST,Actif,347845,42,11,23,27/09/2023,0,3,WE FAMILLE,1,6,9/22/2023,19:35:00,Femme,70,3,"Le personnel est plutôt aimable dans l'ensemble, mais des enfants bruyants jouent partout dans le restaurant. Les frites ne sont pas croustillantes.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,33,févr.-23,BETHUNE,COMPAGNIE,DO_2,NORD,R_21,NORD LITTORAL,Actif,346067,33,14,26,14/02/2023,0,2,SOIR SEMAINE,0,6,02/07/2023,19:15:00,Femme,49,1,"J'ai bien mangé, et pour un prix correct. Le personnel croisé était compétent et souriant.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,33,févr.-23,BETHUNE,COMPAGNIE,DO_2,NORD,R_21,NORD LITTORAL,Actif,346160,33,14,26,28/02/2023,1,2,SOIR SEMAINE,1,6,2/16/2023,19:05:00,Homme,63,1,Tout le personnel est particulièrement souriant et aimable.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
232,232,sept.-23,DOUAI,COMPAGNIE,DO_2,NORD,R_21,NORD EST,Actif,347820,42,82,25,26/09/2023,1,2,WE FAMILLE,0,6,9/23/2023,19:04:00,Femme,48,2,"Bon accueille de la part de l'équipe, qui est, dans l'ensemble, dynamique et souriante. Le sol des toilettes est sale. La salle est propre, car le personnel passe régulièrement pour nettoyer les tables et le sol.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,33,sept.-23,BETHUNE,COMPAGNIE,DO_2,NORD,R_21,NORD LITTORAL,Actif,347711,42,14,26,15/09/2023,0,3,WE FAMILLE,0,6,09/08/2023,19:16:00,Femme,27,2,"Mon passage au restaurant s'est bien passé, mais sans plus. Il serait préférable d'avoir des remises immédiates en caisse plutôt que des coupons de réduction pour les prochains passages.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,33,sept.-23,BETHUNE,COMPAGNIE,DO_2,NORD,R_21,NORD LITTORAL,Actif,347851,42,14,26,27/09/2023,1,2,WE FAMILLE,1,6,9/23/2023,19:07:00,Homme,40,1,"Le personnel est accueillant, la nourriture est appétissante. Le restaurant est globalement propre.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
64,64,sept.-23,CAEN,COMPAGNIE,DO_1,SUD,R_22,OUEST,Actif,347827,42,37,27,26/09/2023,1,3,WE FAMILLE,0,6,9/23/2023,19:54:00,Homme,28,2,"C'est conforme aux attentes. L'équipe est souriante, et agréable. Même la responsable est très active.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
